notifiable-animal-disease-type   
AJR
ANR
BAB
BR
BRU
BTR
CAgR
CBPPR
DPR
EBvL
EHVDR
EVA
IDHR
PED
PMV
POX
Rabies
RBSE
RCWD
RSCRAP
RVFR
SFR
SSCABR
TESCH
VDR
WARBLE
