notifable-animal-disease
African horse sickness
African swine fever
Anthrax
Aujeszkys disease
Avian influenza
Bluetongue
Bovine TB
Brucellosis
BSE
Chronic wasting disease
Classical swine fever
Contagious agalactia
Contagious bovine pleuro-pneumonia
Contagious epididymitis
Contagious equine metritis
Dourine
Enzootic bovine leukosis
Epizootic haemorrhagic disease
Epizootic lymphangitis
Equine infectious anaemia
Equine viral arteritis
Foot and mouth disease
Glanders and farcy
Goat plague
Lumpy skin disease
Newcastle disease
Paramyxovirus infection
Porcine epidemic diarrhoea
Rabies in bats
Rabies
Rift Valley fever
Rinderpest
Scrapie
Sheep and goat pox
Sheep scab
Swine influenza
Swine vesicular disease
Teschen disease
Vesicular stomatitis
Warble fly
West Nile fever
