start-date	end-date
Never Reported	
2015	
Never Reported	
1989	
2012	
2016	
Never Reported	
Present	
Present	
2008?	
Never Reported	
1898	
2012	
2000	
Never Reported	
Never Reported	
1996	
Never Reported	
Never Reported	
2012	
1906	
2012	
2007	
1928	
1800's	
Present	
2016	
Never Reported	
2006	
Never Reported	
2002	
Present	
Never Reported	
1970	
1877	
Never Reported	
Present	
1866	
Present	
1982	
Never Reported	
Never Reported	
Never Reported	
1990	
Never Reported	
Never Reported	
